iter	Accuracy	MultiClass
345	0.7725945221	0.538812529
346	0.7728181651	0.5386726704
347	0.7728970979	0.5385199457
348	0.7729234088	0.5384499057
349	0.7731075854	0.5383646613
350	0.773318073	0.5382935326
351	0.7733049175	0.5381591292
352	0.7733706949	0.5380065054
353	0.7733312285	0.5377312818
354	0.7733970058	0.5376875441
355	0.7734759386	0.5376276591
356	0.773541716	0.5374363464
357	0.7736995817	0.5373120949
358	0.7737522035	0.5371729466
359	0.7740284684	0.5371223242
360	0.7740021575	0.5370461887
361	0.7741205567	0.536671182
362	0.7741994896	0.5366250235
363	0.7740942458	0.5365530183
364	0.7740416239	0.5364257524
365	0.7741468677	0.5363828011
366	0.7741600232	0.5363366148
367	0.7741468677	0.5362758332
368	0.7741074013	0.5360599831
369	0.7741731786	0.5359725945
370	0.7741731786	0.5358553176
371	0.7743705107	0.5357348968
372	0.774462599	0.5357096267
373	0.7744494435	0.5356505682
374	0.7743968216	0.5355804238
375	0.7744362881	0.5354819812
376	0.7745678428	0.5354470684
377	0.7744757545	0.5353752659
378	0.7746073092	0.5352644901
379	0.7746730865	0.5351239393
380	0.7747651748	0.5350313701
381	0.774686242	0.5349481408
382	0.7747651748	0.5347806355
383	0.7748835741	0.5344514645
384	0.7752256163	0.5341505536
385	0.7753440156	0.5340443606
386	0.7752913937	0.5339942464
387	0.775357171	0.5339290544
388	0.7754624148	0.5337142459
389	0.7755676586	0.5335612942
390	0.7757123688	0.5334764059
391	0.7756860578	0.5334095173
392	0.7757255242	0.5333389568
393	0.7758965454	0.5332492645
394	0.7759228563	0.533161097
395	0.7758702344	0.5330478349
396	0.7760938774	0.5328879322
397	0.7760149446	0.5328628355
398	0.7760675665	0.5327469197
399	0.7761201884	0.5326852569
400	0.7761859657	0.53261517
401	0.7761728103	0.5325624727
402	0.7765148525	0.5323934683
403	0.7765016971	0.5322460735
404	0.7766727182	0.532125944
405	0.7768305838	0.5319863616
406	0.7769226721	0.5318974131
407	0.7768437393	0.5318041317
408	0.7768832057	0.5317666999
409	0.777001605	0.5316817755
410	0.7770147604	0.531612486
411	0.7771068487	0.5314682791
412	0.7771463152	0.5313665539
413	0.7771857816	0.5313215636
414	0.7771463152	0.5312760694
415	0.7770805378	0.5311718735
416	0.7771200042	0.5311117531
417	0.777198937	0.5309860233
418	0.7772647144	0.530615571
419	0.7772778699	0.5305509273
420	0.7773041808	0.5304926096
421	0.7774225801	0.5303530615
422	0.7775278238	0.5302754059
423	0.7775672902	0.5302069414
424	0.7777514668	0.5301160859
425	0.7776988449	0.5300385107
426	0.7776462231	0.52995662
427	0.7776988449	0.5298011495
428	0.7776593785	0.5297497874
429	0.7777251559	0.5296952865
430	0.7778830215	0.5295798187
431	0.777896177	0.5294876116
432	0.7779619544	0.5293750316
433	0.7779619544	0.5293183502
434	0.7780014208	0.5292086192
435	0.7780540427	0.5291348836
436	0.7780145763	0.5290597653
437	0.7780671981	0.5288347233
438	0.7781592864	0.528757051
439	0.7781855974	0.5287155729
440	0.7783303076	0.5286201742
441	0.7783829295	0.528586006
442	0.7783960849	0.5285243463
443	0.7784618623	0.5284895944
444	0.7784223959	0.5283659995
445	0.7784487068	0.5283168918
446	0.7786197279	0.5282366055
447	0.7786723498	0.5280884015
448	0.7788565264	0.5279448839
449	0.7788039045	0.5278718766
450	0.7787512827	0.5278347685
451	0.77881706	0.5278203234
452	0.7787512827	0.5277668038
453	0.7789223038	0.5274543639
454	0.7790012366	0.527416218
455	0.7790012366	0.5273781092
456	0.7791985687	0.5272488271
457	0.7792248796	0.5271831779
458	0.7791985687	0.527128927
459	0.7793301234	0.5270831955
460	0.7794222117	0.5269210887
461	0.7795669219	0.5266920702
462	0.7795406109	0.5265910913
463	0.7797905649	0.5262904723
464	0.7798958087	0.5261437626
465	0.7799747415	0.5260823912
466	0.7799352751	0.5259874396
467	0.7800010524	0.5259309071
468	0.7800142079	0.5258667267
469	0.7799221196	0.5258086333
470	0.7801457626	0.5256868744
471	0.7801589181	0.5255551343
472	0.7803430947	0.5252704933
473	0.7803957166	0.5251002647
474	0.7804220275	0.5250489401
475	0.7803036283	0.5250039545
476	0.7803957166	0.5249144521
477	0.7804220275	0.5248488248
478	0.7803825611	0.5247954271
479	0.7804614939	0.5246652273
480	0.7805798932	0.5246224041
481	0.7804878049	0.5245532638
482	0.7805798932	0.5245081457
483	0.7805930486	0.5244280736
484	0.7805667377	0.52431607
485	0.7805535822	0.5242334035
486	0.7805798932	0.5241304114
487	0.780658826	0.5240613537
488	0.7807114479	0.5239756494
489	0.7808693135	0.523889613
490	0.7810140237	0.5238356284
491	0.7809614018	0.523781088
492	0.7811455784	0.5236676323
493	0.7811982003	0.5235159359
494	0.781329755	0.5234779593
495	0.7812245113	0.5233795549
496	0.7813955324	0.5231487551
497	0.7815402426	0.5230799168
498	0.7813955324	0.5229624623
499	0.7813823769	0.5227953872
500	0.7815665535	0.522662417
501	0.7816323309	0.5225329919
502	0.7817375747	0.5224758037
503	0.7817375747	0.5224044745
504	0.7817638856	0.5223574123
505	0.781829663	0.5222604756
506	0.7817770411	0.5222128225
507	0.7819612177	0.5220791975
508	0.7820006841	0.5220569694
509	0.7819743731	0.5219822582
510	0.782026995	0.521857931
511	0.7823164154	0.5214168498
512	0.7822637935	0.5213082049
513	0.7823953482	0.5212511184
514	0.7823558818	0.5211758288
515	0.782250638	0.5211362593
516	0.7823953482	0.5209987118
517	0.7824611256	0.5208953032
518	0.7824874365	0.5208426507
519	0.7826189912	0.5208072795
520	0.7826321467	0.5207824673
521	0.782750546	0.5207155356
522	0.7827768569	0.5206869268
523	0.7828163233	0.5206400362
524	0.7826321467	0.5204002149
525	0.7827637014	0.5202437642
526	0.7828031678	0.5201716371
527	0.782947878	0.5200761023
528	0.7829347226	0.519987903
529	0.7827900124	0.5199167738
530	0.7828163233	0.5198478476
531	0.7828163233	0.5198022834
532	0.7832767648	0.5196267422
533	0.7832636093	0.51949829
534	0.7833425422	0.5193424625
535	0.7833688531	0.5189247825
536	0.7835267188	0.5188534079
537	0.7835267188	0.5188048986
538	0.7835530297	0.5187605451
539	0.7835924961	0.5187246678
540	0.7836582735	0.5186343897
541	0.7836845844	0.5185768552
542	0.7837503618	0.5185428788
543	0.7836714289	0.5184934039
544	0.7837898282	0.5184448224
545	0.7838556055	0.5183444793
546	0.7838819165	0.5183199635
547	0.7840792486	0.5182070811
548	0.7841318704	0.5181451676
549	0.7840792486	0.518109869
550	0.7840397821	0.5179238686
551	0.784092404	0.5178706949
552	0.7843028916	0.5177505792
553	0.7842765806	0.5176762873
554	0.7842897361	0.5176379538
555	0.7844212908	0.5175487274
556	0.7845133791	0.5174945599
557	0.7844344463	0.5173798921
558	0.7845265346	0.5173431004
559	0.7846186229	0.5173119963
560	0.7846054674	0.5172049681
561	0.7848027995	0.5170727439
562	0.784789644	0.517033215
563	0.7849343542	0.5169757608
564	0.7848817323	0.5169131712
565	0.7849869761	0.5168764004
566	0.7850264425	0.5168260791
567	0.7850790644	0.5166926927
568	0.7851579972	0.5166041221
569	0.7853290183	0.5164476669
570	0.7855263504	0.5163492411
571	0.7856315942	0.5162931358
572	0.7856447497	0.5162325089
573	0.7855789723	0.5161745128
574	0.7856579051	0.5161242562
575	0.7855921278	0.5160748446
576	0.7856710606	0.5159711074
577	0.7856710606	0.5158298586
578	0.7856579051	0.5157911954
579	0.7855921278	0.5157199622
580	0.7856052832	0.5156610831
581	0.7857894598	0.5156011163
582	0.7857894598	0.5154953947
583	0.7859736364	0.5152434162
584	0.786184124	0.5151541541
585	0.786184124	0.5151148847
586	0.7862104349	0.5150359367
587	0.7862235904	0.5149658699
588	0.7862499013	0.5149321217
589	0.7862367459	0.5148120293
590	0.7862499013	0.5146617032
591	0.7860525693	0.5146380995
592	0.786157813	0.5146043558
593	0.7862235904	0.5145598116
594	0.7862762123	0.5144738741
